<> SIMULATING ----------------
+-------+-----------------+------+------+------+---------+---------+------+-------+
| Test #| Mode            | Op   | OpA  | OpB  | alu_data | Expected| Cout | Match?|
|262    |Arithmetic       | SUB  |4b0100| 4b1000| 4b1100  | 4b1100  | 1b1  | Yes   |
|263    |Comparison/Shift | EQ   |4b1101| 4b1010| 4b0000  | 4b0000  | 1b1  | No    |
|264    |Logical          | NOR  |4b0100| 4b0111| 4b1000  | 4b1000  | 1b0  | Yes   |
|265    |Arithmetic       | SUB  |4b0110| 4b1001| 4b1101  | 4b1101  | 1b1  | Yes   |
|266    |Arithmetic       | MULT |4b1001| 4b1011| 4b0011  | 4b0011  | 1b0  | Yes   |
|267    |Arithmetic       | MOD  |4b1110| 4b0111| 4b0000  | 4b0000  | 1b0  | Yes   |
|268    |Logical          | OR   |4b0001| 4b1101| 4b1101  | 4b1101  | 1b1  | No    |
|269    |Arithmetic       | ADD  |4b0100| 4b1000| 4b1100  | 4b1100  | 1b0  | Yes   |
|270    |Arithmetic       | MOD  |4b0000| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|271    |Arithmetic       | DIV  |4b0010| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|272    |Arithmetic       | MOD  |4b0101| 4b0100| 4b0001  | 4b0001  | 1b0  | Yes   |
|273    |Arithmetic       | ADD  |4b1101| 4b1101| 4b1010  | 4b1010  | 1b1  | Yes   |
|274    |Logical          | NOR  |4b1000| 4b0101| 4b0010  | 4b0010  | 1b0  | Yes   |
|275    |Arithmetic       | MULT |4b1100| 4b1010| 4b1000  | 4b1000  | 1b0  | No    |
|276    |Logical          | NOT_B|4b0111| 4b1000| 4b0111  | 4b0111  | 1b0  | Yes   |
|277    |Comparison/Shift | LEU  |4b0000| 4b1100| 4b0001  | 4b0001  | 1b0  | Yes   |
|278    |Comparison/Shift | LEU  |4b0100| 4b1100| 4b0001  | 4b0001  | 1b0  | Yes   |
|279    |Comparison/Shift | GEU  |4b1010| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|280    |Logical          | NOT_B|4b1110| 4b1011| 4b0100  | 4b0100  | 1b0  | Yes   |
|281    |Comparison/Shift | GEU  |4b1000| 4b0100| 4b0001  | 4b0001  | 1b0  | Yes   |
|282    |Arithmetic       | DIV  |4b1001| 4b0101| 4b0001  | 4b0001  | 1b0  | Yes   |
|283    |Logical          | XNOR |4b1111| 4b1010| 4b1010  | 4b1010  | 1b0  | Yes   |
|284    |Logical          | NOT_A|4b0011| 4b0011| 4b1100  | 4b1100  | 1b0  | Yes   |
|285    |Logical          | NOT_B|4b0000| 4b1000| 4b0111  | 4b0111  | 1b0  | Yes   |
|286    |Logical          | NOR  |4b0100| 4b0011| 4b1000  | 4b1000  | 1b0  | Yes   |
|287    |Comparison/Shift | LT   |4b1110| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|288    |Logical          | NAND |4b0101| 4b0111| 4b1010  | 4b1010  | 1b0  | Yes   |
|289    |Arithmetic       | MULT |4b1011| 4b1011| 4b1001  | 4b1001  | 1b0  | No    |
|290    |Logical          | AND  |4b0001| 4b0101| 4b0001  | 4b0001  | 1b0  | Yes   |
|291    |Logical          | XOR  |4b1111| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|292    |Logical          | XOR  |4b0010| 4b1010| 4b1000  | 4b1000  | 1b0  | Yes   |
|293    |Arithmetic       | DIV  |4b0010| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|294    |Logical          | NOT_B|4b1110| 4b0010| 4b1101  | 4b1101  | 1b0  | Yes   |
|295    |Arithmetic       | MULT |4b1100| 4b0001| 4b1100  | 4b1100  | 1b0  | Yes   |
|296    |Logical          | NOT_B|4b1001| 4b0001| 4b1110  | 4b1110  | 1b0  | Yes   |
|297    |Arithmetic       | MULT |4b1100| 4b1100| 4b0000  | 4b0000  | 1b0  | No    |
|298    |Arithmetic       | SUB  |4b0001| 4b0100| 4b1101  | 4b1101  | 1b1  | Yes   |
|299    |Logical          | NOR  |4b0011| 4b0101| 4b1000  | 4b1000  | 1b0  | Yes   |
|300    |Arithmetic       | MOD  |4b0000| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|301    |Comparison/Shift | GEU  |4b0100| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|302    |Logical          | NOR  |4b0010| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|303    |Logical          | AND  |4b1111| 4b0110| 4b0110  | 4b0110  | 1b1  | No    |
|304    |Arithmetic       | SUB  |4b0111| 4b1101| 4b1010  | 4b1010  | 1b1  | Yes   |
|305    |Arithmetic       | DIV  |4b1010| 4b0110| 4b0001  | 4b0001  | 1b0  | Yes   |
|306    |Logical          | NOR  |4b1010| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|307    |Arithmetic       | SUB  |4b0101| 4b0000| 4b0101  | 4b0101  | 1b0  | Yes   |
|308    |Arithmetic       | SUB  |4b1001| 4b1100| 4b1101  | 4b1101  | 1b1  | Yes   |
|309    |Comparison/Shift | GE   |4b1100| 4b0000| 4b0000  | 4b0000  | 1b0  | Yes   |
|310    |Logical          | NAND |4b1110| 4b1101| 4b0011  | 4b0011  | 1b0  | Yes   |
|311    |Arithmetic       | MOD  |4b0100| 4b1011| 4b0100  | 4b0100  | 1b0  | Yes   |
|312    |Comparison/Shift | LT   |4b1000| 4b0001| 4b0001  | 4b0001  | 1b0  | Yes   |
|313    |Comparison/Shift | SLTU |4b0111| 4b0001| 4b0000  | 4b0000  | 1b0  | Yes   |
|314    |Logical          | NAND |4b0000| 4b1010| 4b1111  | 4b1111  | 1b0  | Yes   |
|315    |Arithmetic       | ADD  |4b1010| 4b0100| 4b1110  | 4b1110  | 1b0  | Yes   |
|316    |Comparison/Shift | LEU  |4b0000| 4b0010| 4b0001  | 4b0001  | 1b0  | Yes   |
|317    |Comparison/Shift | SLT  |4b0010| 4b0001| 4b0000  | 4b0000  | 1b0  | Yes   |
|318    |Arithmetic       | SUB  |4b1110| 4b0110| 4b1000  | 4b1000  | 1b0  | Yes   |
|319    |Arithmetic       | ADD  |4b0001| 4b0010| 4b0011  | 4b0011  | 1b0  | Yes   |
|320    |Logical          | NOT_A|4b0100| 4b1101| 4b1011  | 4b1011  | 1b0  | Yes   |
|321    |Arithmetic       | DIV  |4b1110| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|322    |Logical          | XNOR |4b0101| 4b1101| 4b0111  | 4b0111  | 1b0  | Yes   |
|323    |Comparison/Shift | GEU  |4b0001| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|324    |Comparison/Shift | SRL  |4b0001| 4b0101| 4b0000  | 4b0000  | 1b0  | Yes   |
|325    |Arithmetic       | ADD  |4b0110| 4b1001| 4b1111  | 4b1111  | 1b0  | Yes   |
|326    |Arithmetic       | MOD  |4b1111| 4b0001| 4b0000  | 4b0000  | 1b0  | Yes   |
|327    |Arithmetic       | ADD  |4b0100| 4b0101| 4b1001  | 4b1001  | 1b0  | Yes   |
|328    |Arithmetic       | MULT |4b0010| 4b0111| 4b1110  | 4b1110  | 1b0  | Yes   |
|329    |Logical          | XNOR |4b0010| 4b0001| 4b1100  | 4b1100  | 1b0  | Yes   |
|330    |Logical          | AND  |4b1110| 4b0100| 4b0100  | 4b0100  | 1b1  | No    |
|331    |Arithmetic       | SUB  |4b0011| 4b1010| 4b1001  | 4b1001  | 1b1  | Yes   |
|332    |Comparison/Shift | SRL  |4b1111| 4b0000| 4b1111  | 4b1111  | 1b0  | Yes   |
|333    |Arithmetic       | ADD  |4b1001| 4b1100| 4b0101  | 4b0101  | 1b1  | Yes   |
|334    |Logical          | OR   |4b1101| 4b0000| 4b1101  | 4b1101  | 1b0  | Yes   |
|335    |Logical          | AND  |4b0101| 4b0101| 4b0101  | 4b0101  | 1b0  | Yes   |
|336    |Logical          | NOR  |4b1100| 4b1101| 4b0010  | 4b0010  | 1b0  | Yes   |
|337    |Arithmetic       | SUB  |4b1110| 4b1001| 4b0101  | 4b0101  | 1b0  | Yes   |
|338    |Logical          | OR   |4b1101| 4b1100| 4b1101  | 4b1101  | 1b0  | Yes   |
|339    |Comparison/Shift | GE   |4b0110| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|340    |Arithmetic       | DIV  |4b1111| 4b1101| 4b0001  | 4b0001  | 1b0  | Yes   |
|341    |Arithmetic       | ADD  |4b1001| 4b0011| 4b1100  | 4b1100  | 1b0  | Yes   |
|342    |Arithmetic       | MULT |4b0100| 4b1011| 4b1100  | 4b1100  | 1b0  | Yes   |
|343    |Comparison/Shift | GEU  |4b0000| 4b0010| 4b0000  | 4b0000  | 1b0  | Yes   |
|344    |Logical          | NAND |4b1111| 4b1010| 4b0101  | 4b0101  | 1b0  | Yes   |
|345    |Arithmetic       | DIV  |4b0011| 4b0001| 4b0011  | 4b0011  | 1b0  | Yes   |
|346    |Logical          | NOT_A|4b1101| 4b0110| 4b0010  | 4b0010  | 1b0  | Yes   |
|347    |Logical          | NOT_A|4b0100| 4b0111| 4b1011  | 4b1011  | 1b0  | Yes   |
|348    |Comparison/Shift | SLL  |4b0101| 4b0010| 4b0100  | 4b0100  | 1b0  | Yes   |
|349    |Comparison/Shift | LT   |4b0101| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|350    |Arithmetic       | MOD  |4b1001| 4b1110| 4b1001  | 4b1001  | 1b0  | Yes   |
|351    |Arithmetic       | SUB  |4b0000| 4b0100| 4b1100  | 4b1100  | 1b1  | Yes   |
|352    |Logical          | XOR  |4b1111| 4b0010| 4b1101  | 4b1101  | 1b0  | Yes   |
|353    |Arithmetic       | MOD  |4b0011| 4b0101| 4b0011  | 4b0011  | 1b0  | Yes   |
|354    |Logical          | AND  |4b1011| 4b0101| 4b0001  | 4b0001  | 1b1  | No    |
|355    |Comparison/Shift | SLL  |4b1101| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|356    |Arithmetic       | MOD  |4b1101| 4b1111| 4b1101  | 4b1101  | 1b0  | Yes   |
|357    |Comparison/Shift | SLTU |4b1101| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|358    |Arithmetic       | DIV  |4b0100| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|359    |Comparison/Shift | SLL  |4b0011| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|360    |Comparison/Shift | SRA  |4b1000| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|361    |Arithmetic       | MOD  |4b0100| 4b1000| 4b0100  | 4b0100  | 1b0  | Yes   |
|362    |Arithmetic       | ADD  |4b1110| 4b1110| 4b1100  | 4b1100  | 1b1  | Yes   |
|363    |Logical          | NOR  |4b1001| 4b0011| 4b0100  | 4b0100  | 1b0  | Yes   |
|364    |Comparison/Shift | LT   |4b0011| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|365    |Arithmetic       | MULT |4b0011| 4b0100| 4b1100  | 4b1100  | 1b0  | Yes   |
|366    |Arithmetic       | SUB  |4b0011| 4b0101| 4b1110  | 4b1110  | 1b1  | Yes   |
|367    |Comparison/Shift | SRA  |4b1011| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|368    |Comparison/Shift | GEU  |4b1101| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|369    |Arithmetic       | DIV  |4b0111| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|370    |Arithmetic       | MOD  |4b0111| 4b0010| 4b0001  | 4b0001  | 1b0  | Yes   |
|371    |Logical          | AND  |4b0101| 4b1101| 4b0101  | 4b0101  | 1b1  | No    |
|372    |Logical          | NOR  |4b1010| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|373    |Comparison/Shift | SLTU |4b0011| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|374    |Arithmetic       | MOD  |4b0100| 4b0001| 4b0000  | 4b0000  | 1b0  | Yes   |
|375    |Logical          | NAND |4b1111| 4b0111| 4b1000  | 4b1000  | 1b0  | Yes   |
|376    |Comparison/Shift | GE   |4b0110| 4b0001| 4b0001  | 4b0001  | 1b0  | Yes   |
|377    |Comparison/Shift | SRA  |4b1011| 4b0001| 4b0101  | 4b0101  | 1b0  | Yes   |
|378    |Logical          | AND  |4b0011| 4b0010| 4b0010  | 4b0010  | 1b0  | Yes   |
|379    |Logical          | OR   |4b1111| 4b1001| 4b1111  | 4b1111  | 1b0  | Yes   |
|380    |Comparison/Shift | SRA  |4b1000| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|381    |Logical          | NOT_B|4b1000| 4b1101| 4b0010  | 4b0010  | 1b0  | Yes   |
|382    |Logical          | NAND |4b1110| 4b0001| 4b1111  | 4b1111  | 1b0  | Yes   |
|383    |Logical          | NOR  |4b1000| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|384    |Logical          | NOT_A|4b0000| 4b1001| 4b1111  | 4b1111  | 1b0  | Yes   |
|385    |Comparison/Shift | SRA  |4b1010| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|386    |Comparison/Shift | SLT  |4b1111| 4b0000| 4b0001  | 4b0001  | 1b0  | Yes   |
|387    |Logical          | XOR  |4b1010| 4b0111| 4b1101  | 4b1101  | 1b0  | Yes   |
|388    |Comparison/Shift | EQ   |4b0000| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|389    |Comparison/Shift | SLT  |4b1100| 4b0001| 4b0001  | 4b0001  | 1b0  | Yes   |
|390    |Comparison/Shift | GEU  |4b0010| 4b0000| 4b0001  | 4b0001  | 1b0  | Yes   |
|391    |Logical          | NOR  |4b1110| 4b0010| 4b0001  | 4b0001  | 1b0  | Yes   |
|392    |Logical          | NOR  |4b1100| 4b0101| 4b0010  | 4b0010  | 1b0  | Yes   |
|393    |Comparison/Shift | LT   |4b0010| 4b0111| 4b0001  | 4b0001  | 1b0  | Yes   |
|394    |Comparison/Shift | SRA  |4b0111| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|395    |Comparison/Shift | SRA  |4b0001| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|396    |Logical          | NOT_B|4b1000| 4b0010| 4b1101  | 4b1101  | 1b0  | Yes   |
|397    |Comparison/Shift | LEU  |4b0100| 4b1110| 4b0001  | 4b0001  | 1b0  | Yes   |
|398    |Arithmetic       | ADD  |4b1110| 4b0111| 4b0101  | 4b0101  | 1b1  | Yes   |
|399    |Arithmetic       | DIV  |4b1001| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|400    |Logical          | XOR  |4b0000| 4b0101| 4b0101  | 4b0101  | 1b0  | Yes   |
|401    |Comparison/Shift | LT   |4b1100| 4b0000| 4b0001  | 4b0001  | 1b0  | Yes   |
|402    |Logical          | NOT_A|4b1010| 4b0101| 4b0101  | 4b0101  | 1b0  | Yes   |
|403    |Arithmetic       | ADD  |4b1101| 4b1001| 4b0110  | 4b0110  | 1b1  | Yes   |
|404    |Comparison/Shift | LEU  |4b1011| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|405    |Logical          | NOT_A|4b0101| 4b1001| 4b1010  | 4b1010  | 1b0  | Yes   |
|406    |Logical          | OR   |4b0000| 4b0111| 4b0111  | 4b0111  | 1b1  | No    |
|407    |Comparison/Shift | SLTU |4b0010| 4b1100| 4b0001  | 4b0001  | 1b0  | Yes   |
|408    |Arithmetic       | MULT |4b0001| 4b1011| 4b1011  | 4b1011  | 1b0  | Yes   |
|409    |Comparison/Shift | GEU  |4b1011| 4b1001| 4b0001  | 4b0001  | 1b0  | Yes   |
|410    |Comparison/Shift | SLT  |4b1110| 4b0101| 4b0001  | 4b0001  | 1b0  | Yes   |
|411    |Arithmetic       | DIV  |4b1110| 4b1100| 4b0001  | 4b0001  | 1b0  | Yes   |
|412    |Comparison/Shift | SLTU |4b0011| 4b1011| 4b0001  | 4b0001  | 1b0  | Yes   |
|413    |Arithmetic       | SUB  |4b0100| 4b1111| 4b0101  | 4b0101  | 1b1  | Yes   |
|414    |Comparison/Shift | GEU  |4b0111| 4b1100| 4b0000  | 4b0000  | 1b0  | Yes   |
|415    |Logical          | OR   |4b1000| 4b1101| 4b1101  | 4b1101  | 1b1  | No    |
|416    |Arithmetic       | DIV  |4b1000| 4b0001| 4b1000  | 4b1000  | 1b0  | Yes   |
|417    |Logical          | OR   |4b1010| 4b0110| 4b1110  | 4b1110  | 1b0  | Yes   |
|418    |Arithmetic       | ADD  |4b1100| 4b1000| 4b0100  | 4b0100  | 1b1  | Yes   |
|419    |Comparison/Shift | EQ   |4b0100| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|420    |Comparison/Shift | SRA  |4b0010| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|421    |Arithmetic       | MOD  |4b1101| 4b1011| 4b0010  | 4b0010  | 1b0  | Yes   |
|422    |Comparison/Shift | LEU  |4b0111| 4b1001| 4b0001  | 4b0001  | 1b0  | Yes   |
|423    |Logical          | NOR  |4b0110| 4b1010| 4b0001  | 4b0001  | 1b0  | Yes   |
|424    |Comparison/Shift | SRL  |4b1011| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|425    |Logical          | AND  |4b0100| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|426    |Arithmetic       | ADD  |4b0001| 4b0011| 4b0100  | 4b0100  | 1b0  | Yes   |
|427    |Comparison/Shift | LT   |4b1010| 4b1111| 4b0001  | 4b0001  | 1b0  | Yes   |
|428    |Logical          | NOT_A|4b1101| 4b1100| 4b0010  | 4b0010  | 1b0  | Yes   |
|429    |Logical          | NOR  |4b0111| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|430    |Comparison/Shift | GEU  |4b0110| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|431    |Arithmetic       | MOD  |4b0111| 4b0101| 4b0010  | 4b0010  | 1b0  | Yes   |
|432    |Arithmetic       | SUB  |4b0011| 4b1011| 4b1000  | 4b1000  | 1b1  | Yes   |
|433    |Logical          | NAND |4b0100| 4b0110| 4b1011  | 4b1011  | 1b0  | Yes   |
|434    |Arithmetic       | SUB  |4b1010| 4b0011| 4b0111  | 4b0111  | 1b0  | Yes   |
|435    |Logical          | AND  |4b0011| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|436    |Logical          | NOT_B|4b0100| 4b0010| 4b1101  | 4b1101  | 1b0  | Yes   |
|437    |Arithmetic       | DIV  |4b0000| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|438    |Arithmetic       | MOD  |4b1000| 4b1000| 4b0000  | 4b0000  | 1b0  | Yes   |
|439    |Logical          | OR   |4b1101| 4b1101| 4b1101  | 4b1101  | 1b0  | Yes   |
|440    |Arithmetic       | DIV  |4b1001| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|441    |Logical          | NOT_A|4b0001| 4b0001| 4b1110  | 4b1110  | 1b0  | Yes   |
|442    |Logical          | AND  |4b0101| 4b1110| 4b0100  | 4b0100  | 1b1  | No    |
|443    |Comparison/Shift | SLL  |4b0110| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|444    |Logical          | OR   |4b0001| 4b0100| 4b0101  | 4b0101  | 1b1  | No    |
|445    |Arithmetic       | ADD  |4b1111| 4b0001| 4b0000  | 4b0000  | 1b1  | Yes   |
|446    |Arithmetic       | SUB  |4b1001| 4b1011| 4b1110  | 4b1110  | 1b1  | Yes   |
|447    |Comparison/Shift | SRL  |4b1000| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|448    |Logical          | NAND |4b0100| 4b0000| 4b1111  | 4b1111  | 1b0  | Yes   |
|449    |Comparison/Shift | SRL  |4b0010| 4b0010| 4b0000  | 4b0000  | 1b0  | Yes   |
|450    |Logical          | NOR  |4b0000| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|451    |Logical          | AND  |4b1110| 4b0111| 4b0110  | 4b0110  | 1b1  | No    |
|452    |Arithmetic       | ADD  |4b1011| 4b0111| 4b0010  | 4b0010  | 1b1  | Yes   |
|453    |Arithmetic       | ADD  |4b1000| 4b1001| 4b0001  | 4b0001  | 1b1  | Yes   |
|454    |Arithmetic       | ADD  |4b0100| 4b1001| 4b1101  | 4b1101  | 1b0  | Yes   |
|455    |Arithmetic       | DIV  |4b0011| 4b1111| 4b0000  | 4b0000  | 1b0  | Yes   |
|456    |Comparison/Shift | SRL  |4b1111| 4b1101| 4b0000  | 4b0000  | 1b0  | Yes   |
|457    |Comparison/Shift | SLTU |4b1111| 4b1110| 4b0000  | 4b0000  | 1b0  | Yes   |
|458    |Logical          | NOT_B|4b1101| 4b0111| 4b1000  | 4b1000  | 1b0  | Yes   |
|459    |Logical          | XOR  |4b1111| 4b0110| 4b1001  | 4b1001  | 1b0  | Yes   |
|460    |Arithmetic       | DIV  |4b1101| 4b1101| 4b0001  | 4b0001  | 1b0  | Yes   |
|461    |Arithmetic       | DIV  |4b0111| 4b0111| 4b0001  | 4b0001  | 1b0  | Yes   |
|462    |Logical          | NOT_B|4b0000| 4b1101| 4b0010  | 4b0010  | 1b0  | Yes   |
|463    |Logical          | NOT_B|4b1100| 4b0111| 4b1000  | 4b1000  | 1b0  | Yes   |
|464    |Arithmetic       | DIV  |4b0100| 4b1001| 4b0000  | 4b0000  | 1b0  | Yes   |
|465    |Comparison/Shift | SLT  |4b0111| 4b0110| 4b0000  | 4b0000  | 1b0  | Yes   |
|466    |Logical          | NOT_B|4b1101| 4b1001| 4b0110  | 4b0110  | 1b0  | Yes   |
|467    |Arithmetic       | MULT |4b1111| 4b1101| 4b0011  | 4b0011  | 1b0  | Yes   |
|468    |Logical          | OR   |4b1010| 4b1100| 4b1110  | 4b1110  | 1b1  | No    |
|469    |Logical          | NOT_A|4b0011| 4b0111| 4b1100  | 4b1100  | 1b0  | Yes   |
|470    |Comparison/Shift | SRL  |4b0100| 4b0101| 4b0000  | 4b0000  | 1b0  | Yes   |
|471    |Logical          | OR   |4b1100| 4b0011| 4b1111  | 4b1111  | 1b0  | Yes   |
|472    |Arithmetic       | SUB  |4b1101| 4b1010| 4b0011  | 4b0011  | 1b0  | Yes   |
|473    |Arithmetic       | SUB  |4b0000| 4b1000| 4b1000  | 4b1000  | 1b1  | Yes   |
|474    |Logical          | AND  |4b0001| 4b1010| 4b0000  | 4b0000  | 1b0  | Yes   |
|475    |Logical          | XOR  |4b0111| 4b0001| 4b0110  | 4b0110  | 1b0  | Yes   |
|476    |Logical          | AND  |4b1101| 4b1101| 4b1101  | 4b1101  | 1b1  | No    |
|477    |Logical          | OR   |4b0100| 4b0000| 4b0100  | 4b0100  | 1b0  | Yes   |
|478    |Comparison/Shift | SLT  |4b0110| 4b1011| 4b0000  | 4b0000  | 1b0  | Yes   |
|479    |Comparison/Shift | SRL  |4b1111| 4b0111| 4b0000  | 4b0000  | 1b0  | Yes   |
|480    |Logical          | XOR  |4b0001| 4b1000| 4b1001  | 4b1001  | 1b0  | Yes   |
|481    |Arithmetic       | ADD  |4b0001| 4b1010| 4b1011  | 4b1011  | 1b0  | Yes   |
|482    |Arithmetic       | MULT |4b0100| 4b1010| 4b1000  | 4b1000  | 1b0  | Yes   |
|483    |Arithmetic       | MOD  |4b1100| 4b1111| 4b1100  | 4b1100  | 1b0  | Yes   |
|484    |Arithmetic       | MOD  |4b1101| 4b0001| 4b0000  | 4b0000  | 1b0  | Yes   |
|485    |Logical          | AND  |4b0010| 4b1110| 4b0010  | 4b0010  | 1b1  | No    |
|486    |Comparison/Shift | SLTU |4b1001| 4b0100| 4b0000  | 4b0000  | 1b0  | Yes   |
|487    |Logical          | NAND |4b1011| 4b1110| 4b0101  | 4b0101  | 1b0  | Yes   |
|488    |Comparison/Shift | SRA  |4b0110| 4b0101| 4b0000  | 4b0000  | 1b0  | Yes   |
|489    |Comparison/Shift | GEU  |4b1111| 4b1111| 4b0001  | 4b0001  | 1b0  | Yes   |
|490    |Arithmetic       | ADD  |4b1001| 4b1101| 4b0110  | 4b0110  | 1b1  | Yes   |
|491    |Arithmetic       | MOD  |4b1100| 4b1101| 4b1100  | 4b1100  | 1b0  | Yes   |
|492    |Arithmetic       | MULT |4b1111| 4b1001| 4b0111  | 4b0111  | 1b0  | Yes   |
|493    |Arithmetic       | DIV  |4b0111| 4b0101| 4b0001  | 4b0001  | 1b0  | Yes   |
|494    |Arithmetic       | MOD  |4b1010| 4b0011| 4b0001  | 4b0001  | 1b0  | Yes   |
|495    |Logical          | AND  |4b0001| 4b1101| 4b0001  | 4b0001  | 1b0  | Yes   |
|496    |Comparison/Shift | GEU  |4b0010| 4b0001| 4b0001  | 4b0001  | 1b0  | Yes   |
|497    |Logical          | XOR  |4b0000| 4b1001| 4b1001  | 4b1001  | 1b0  | Yes   |
|498    |Comparison/Shift | SLL  |4b0110| 4b0100| 4b0000  | 4b0000  | 1b0  | Yes   |
|499    |Arithmetic       | MOD  |4b0010| 4b1110| 4b0010  | 4b0010  | 1b0  | Yes   |
+-------+-----------------+------+------+------+---------+---------+------+-------+
Match Percentage: 88.98% (444 out of 499 tests passed)

Dieu kien xet Cout thieu, nen bo sung, de gay conflict neu gap nhung param trung voi ADD va SUB
MULT nhan bi tran so, Output chi toi da 4bit
Comp va Shift bij conflict trong viec quy dinh size output. Trong spec ghi 4bit nhung lenh set lai out ra 1 bit
